index1,date,open,high,low,close,volume,index
0,2005-01-03,19.824,19.9349,19.7123,19.7796,65002900,1
1,2005-01-04,19.8684,20.0459,19.7204,19.8536,109442100,2
2,2005-01-05,19.8536,20.0459,19.7944,19.8092,72463500,3
3,2005-01-06,19.8684,20.0163,19.7056,19.787,76890500,4
4,2005-01-07,19.8462,19.8906,19.6908,19.7278,68723300,5
5,2005-01-10,19.676,19.8684,19.6317,19.824,70376600,6
